Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;532.616.595;0,564
ALPA4;ALPARGATAS;PN      N1;166.362.038;0,07
ABEV3;AMBEV S/A;ON;4.394.245.879;2,47
ASAI3;ASSAI;ON      NM;1.349.217.892;0,687
AZUL4;AZUL;PN      N2;332.825.777;0,133
B3SA3;B3;ON      NM;5.602.790.110;3,011
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,102
BBDC3;BRADESCO;ON      N1;1.489.259.656;0,818
BBDC4;BRADESCO;PN      N1;5.135.772.281;3,088
BRAP4;BRADESPAR;PN      N1;250.992.819;0,226
BBAS3;BRASIL;ON      NM;2.842.247.534;3,672
